class	name	inchi	left	right	agnostic	agnostic_inchi	left_inchi	right_inchi
http://purl.obolibrary.org/obo/CHEBI_132221	DL-homocysteic acid							
http://purl.obolibrary.org/obo/CHEBI_132237	rac-3,4-methylenedioxy-N-ethylamphetamine							
http://purl.obolibrary.org/obo/CHEBI_132833	rac-catechin							
http://purl.obolibrary.org/obo/CHEBI_132833	L-Epicatechin							
http://purl.obolibrary.org/obo/CHEBI_132847	1-p-menthene							
http://purl.obolibrary.org/obo/CHEBI_132847	1-p-Menthene							
http://purl.obolibrary.org/obo/CHEBI_132912	nebivolol hydrochloride							
http://purl.obolibrary.org/obo/CHEBI_2679	Amphetamine		http://purl.obolibrary.org/obo/CHEBI_4469	http://purl.obolibrary.org/obo/CHEBI_42724	http://purl.obolibrary.org/obo/CHEBI_132233	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m0/s1	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_2679	amphetamine		http://purl.obolibrary.org/obo/CHEBI_4469	http://purl.obolibrary.org/obo/CHEBI_42724	http://purl.obolibrary.org/obo/CHEBI_132233	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m0/s1	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_2679	amphetamine		http://purl.obolibrary.org/obo/CHEBI_4469	http://purl.obolibrary.org/obo/CHEBI_42724	http://purl.obolibrary.org/obo/CHEBI_132233	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m0/s1	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_2679	amphetamine		http://purl.obolibrary.org/obo/CHEBI_4469	http://purl.obolibrary.org/obo/CHEBI_42724	http://purl.obolibrary.org/obo/CHEBI_132233	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m0/s1	InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_27792	DL-cycloserine							
http://purl.obolibrary.org/obo/CHEBI_3215	Bupivacaine							
http://purl.obolibrary.org/obo/CHEBI_3215	bupivacaine							
http://purl.obolibrary.org/obo/CHEBI_3708	cinmethylin							
http://purl.obolibrary.org/obo/CHEBI_3723	Citalopram							
http://purl.obolibrary.org/obo/CHEBI_3723	citalopram							
http://purl.obolibrary.org/obo/CHEBI_3723	citalopram							
http://purl.obolibrary.org/obo/CHEBI_3724	citalopram hydrobromide							
http://purl.obolibrary.org/obo/CHEBI_37560	benproperine							
http://purl.obolibrary.org/obo/CHEBI_38000	uniconazole							
http://purl.obolibrary.org/obo/CHEBI_38000	uniconazole-P							
http://purl.obolibrary.org/obo/CHEBI_38561	fluvastatin	InChI=1S/C24H26FNO4/c1-15(2)26-21-6-4-3-5-20(21)24(16-7-9-17(25)10-8-16)22(26)12-11-18(27)13-19(28)14-23(29)30/h3-12,15,18-19,27-28H,13-14H2,1-2H3,(H,29,30)/b12-11+/t18-,19-/m0/s1						
http://purl.obolibrary.org/obo/CHEBI_38566	rac-(3R,5R,6E)-7-[3-(4-fluorophenyl)-1-(propan-2-yl)-1H-indol-2-yl]-3,5-dihydroxyhept-6-enoic acid							
http://purl.obolibrary.org/obo/CHEBI_39331	alpha-cypermethrin							
http://purl.obolibrary.org/obo/CHEBI_39333	theta-cypermethrin							
http://purl.obolibrary.org/obo/CHEBI_4998	fenarimol		http://purl.obolibrary.org/obo/CHEBI_83689	http://purl.obolibrary.org/obo/CHEBI_83688	http://purl.obolibrary.org/obo/CHEBI_83686	InChI=1S/C17H12Cl2N2O/c18-14-7-5-12(6-8-14)17(22,13-9-20-11-21-10-13)15-3-1-2-4-16(15)19/h1-11,22H	InChI=1S/C17H12Cl2N2O/c18-14-7-5-12(6-8-14)17(22,13-9-20-11-21-10-13)15-3-1-2-4-16(15)19/h1-11,22H/t17-/m0/s1	InChI=1S/C17H12Cl2N2O/c18-14-7-5-12(6-8-14)17(22,13-9-20-11-21-10-13)15-3-1-2-4-16(15)19/h1-11,22H/t17-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_4998	fenarimol		http://purl.obolibrary.org/obo/CHEBI_83689	http://purl.obolibrary.org/obo/CHEBI_83688	http://purl.obolibrary.org/obo/CHEBI_83686	InChI=1S/C17H12Cl2N2O/c18-14-7-5-12(6-8-14)17(22,13-9-20-11-21-10-13)15-3-1-2-4-16(15)19/h1-11,22H	InChI=1S/C17H12Cl2N2O/c18-14-7-5-12(6-8-14)17(22,13-9-20-11-21-10-13)15-3-1-2-4-16(15)19/h1-11,22H/t17-/m0/s1	InChI=1S/C17H12Cl2N2O/c18-14-7-5-12(6-8-14)17(22,13-9-20-11-21-10-13)15-3-1-2-4-16(15)19/h1-11,22H/t17-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_50145	fenpropimorph		http://purl.obolibrary.org/obo/CHEBI_50146	http://purl.obolibrary.org/obo/CHEBI_50147	http://purl.obolibrary.org/obo/CHEBI_50148	InChI=1S/C20H33NO/c1-15(12-21-13-16(2)22-17(3)14-21)11-18-7-9-19(10-8-18)20(4,5)6/h7-10,15-17H,11-14H2,1-6H3	InChI=1S/C20H33NO/c1-15(12-21-13-16(2)22-17(3)14-21)11-18-7-9-19(10-8-18)20(4,5)6/h7-10,15-17H,11-14H2,1-6H3/t15-,16-,17+/m0/s1	InChI=1S/C20H33NO/c1-15(12-21-13-16(2)22-17(3)14-21)11-18-7-9-19(10-8-18)20(4,5)6/h7-10,15-17H,11-14H2,1-6H3/t15-,16-,17+/m1/s1
http://purl.obolibrary.org/obo/CHEBI_50145	fenpropimorph		http://purl.obolibrary.org/obo/CHEBI_50146	http://purl.obolibrary.org/obo/CHEBI_50147	http://purl.obolibrary.org/obo/CHEBI_50148	InChI=1S/C20H33NO/c1-15(12-21-13-16(2)22-17(3)14-21)11-18-7-9-19(10-8-18)20(4,5)6/h7-10,15-17H,11-14H2,1-6H3	InChI=1S/C20H33NO/c1-15(12-21-13-16(2)22-17(3)14-21)11-18-7-9-19(10-8-18)20(4,5)6/h7-10,15-17H,11-14H2,1-6H3/t15-,16-,17+/m0/s1	InChI=1S/C20H33NO/c1-15(12-21-13-16(2)22-17(3)14-21)11-18-7-9-19(10-8-18)20(4,5)6/h7-10,15-17H,11-14H2,1-6H3/t15-,16-,17+/m1/s1
http://purl.obolibrary.org/obo/CHEBI_5063	fipronil		http://purl.obolibrary.org/obo/CHEBI_83396	http://purl.obolibrary.org/obo/CHEBI_83395	http://purl.obolibrary.org/obo/CHEBI_83394	InChI=1S/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2	InChI=1S/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2/t26-/m0/s1	InChI=1S/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2/t26-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_5063	fipronil		http://purl.obolibrary.org/obo/CHEBI_83396	http://purl.obolibrary.org/obo/CHEBI_83395	http://purl.obolibrary.org/obo/CHEBI_83394	InChI=1S/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2	InChI=1S/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2/t26-/m0/s1	InChI=1S/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2/t26-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_5097	fluazifop-butyl							
http://purl.obolibrary.org/obo/CHEBI_5097	fluazifop-butyl							
http://purl.obolibrary.org/obo/CHEBI_5105	flumipropyn		http://purl.obolibrary.org/obo/CHEBI_139042	http://purl.obolibrary.org/obo/CHEBI_139041	http://purl.obolibrary.org/obo/CHEBI_139040	InChI=1S/C18H15ClFNO3/c1-3-10(2)24-16-9-15(14(20)8-13(16)19)21-17(22)11-6-4-5-7-12(11)18(21)23/h1,8-10H,4-7H2,2H3	InChI=1S/C18H15ClFNO3/c1-3-10(2)24-16-9-15(14(20)8-13(16)19)21-17(22)11-6-4-5-7-12(11)18(21)23/h1,8-10H,4-7H2,2H3/t10-/m0/s1	InChI=1S/C18H15ClFNO3/c1-3-10(2)24-16-9-15(14(20)8-13(16)19)21-17(22)11-6-4-5-7-12(11)18(21)23/h1,8-10H,4-7H2,2H3/t10-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_6807	methadone							
http://purl.obolibrary.org/obo/CHEBI_6807	Methadone							
http://purl.obolibrary.org/obo/CHEBI_6807	methadone							
http://purl.obolibrary.org/obo/CHEBI_60789	bupivacaine hydrochloride hydrate	InChI=1S/C18H28N2O.ClH.H2O/c1-4-5-12-20-13-7-6-11-16(20)18(21)19-17-14(2)9-8-10-15(17)3;;/h8-10,16H,4-7,11-13H2,1-3H3,(H,19,21);1H;1H2						
http://purl.obolibrary.org/obo/CHEBI_60850	cis-2,3-dihydro-3-hydroxyanthranilic acid							
http://purl.obolibrary.org/obo/CHEBI_60851	trans-2,3-dihydro-3-hydroxyanthranilic acid							
http://purl.obolibrary.org/obo/CHEBI_60852	cis-2,3-dihydro-3-hydroxyanthranilic acid zwitterion							
http://purl.obolibrary.org/obo/CHEBI_60853	trans-2,3-dihydro-3-hydroxyanthranilic acid zwitterion							
http://purl.obolibrary.org/obo/CHEBI_60864	cis-6-ammonio-5-oxocyclohex-2-ene-1-carboxylate							
http://purl.obolibrary.org/obo/CHEBI_60865	cis-6-amino-5-oxocyclohex-2-ene-1-carboxylic acid							
http://purl.obolibrary.org/obo/CHEBI_60866	trans-6-amino-5-oxocyclohex-2-ene-1-carboxylic acid							
http://purl.obolibrary.org/obo/CHEBI_60867	trans-6-ammonio-5-oxocyclohex-2-ene-1-carboxylate							
http://purl.obolibrary.org/obo/CHEBI_6129	ketorolac	InChI=1S/C15H13NO3/c17-14(10-4-2-1-3-5-10)13-7-6-12-11(15(18)19)8-9-16(12)13/h1-7,11H,8-9H2,(H,18,19)	http://purl.obolibrary.org/obo/CHEBI_76228	http://purl.obolibrary.org/obo/CHEBI_76227	http://purl.obolibrary.org/obo/CHEBI_76223	InChI=1S/C15H13NO3/c17-14(10-4-2-1-3-5-10)13-7-6-12-11(15(18)19)8-9-16(12)13/h1-7,11H,8-9H2,(H,18,19)	InChI=1S/C15H13NO3/c17-14(10-4-2-1-3-5-10)13-7-6-12-11(15(18)19)8-9-16(12)13/h1-7,11H,8-9H2,(H,18,19)/t11-/m0/s1	InChI=1S/C15H13NO3/c17-14(10-4-2-1-3-5-10)13-7-6-12-11(15(18)19)8-9-16(12)13/h1-7,11H,8-9H2,(H,18,19)/t11-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_63609	mefloquine							
http://purl.obolibrary.org/obo/CHEBI_63609	Mefloquine							
http://purl.obolibrary.org/obo/CHEBI_64022	nebivolol							
http://purl.obolibrary.org/obo/CHEBI_7772	omeprazole							
http://purl.obolibrary.org/obo/CHEBI_7772	Omeprazole							
http://purl.obolibrary.org/obo/CHEBI_71245	asenapine maleate							
http://purl.obolibrary.org/obo/CHEBI_71249	asenapine(1+)							
http://purl.obolibrary.org/obo/CHEBI_71253	asenapine							
http://purl.obolibrary.org/obo/CHEBI_73162	paclobutrazol							
http://purl.obolibrary.org/obo/CHEBI_9513	thalidomide		http://purl.obolibrary.org/obo/CHEBI_61918	http://purl.obolibrary.org/obo/CHEBI_61917	http://purl.obolibrary.org/obo/CHEBI_74947	InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)	InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)/t9-/m0/s1	InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)/t9-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_81762	fenbuconazole		http://purl.obolibrary.org/obo/CHEBI_83921	http://purl.obolibrary.org/obo/CHEBI_83922	http://purl.obolibrary.org/obo/CHEBI_83920	InChI=1S/C19H17ClN4/c20-18-8-6-16(7-9-18)10-11-19(12-21,13-24-15-22-14-23-24)17-4-2-1-3-5-17/h1-9,14-15H,10-11,13H2	InChI=1S/C19H17ClN4/c20-18-8-6-16(7-9-18)10-11-19(12-21,13-24-15-22-14-23-24)17-4-2-1-3-5-17/h1-9,14-15H,10-11,13H2/t19-/m1/s1	InChI=1S/C19H17ClN4/c20-18-8-6-16(7-9-18)10-11-19(12-21,13-24-15-22-14-23-24)17-4-2-1-3-5-17/h1-9,14-15H,10-11,13H2/t19-/m0/s1
http://purl.obolibrary.org/obo/CHEBI_81766	hexaconazole		http://purl.obolibrary.org/obo/CHEBI_83713	http://purl.obolibrary.org/obo/CHEBI_83712	http://purl.obolibrary.org/obo/CHEBI_83711	InChI=1S/C14H17Cl2N3O/c1-2-3-6-14(20,8-19-10-17-9-18-19)12-5-4-11(15)7-13(12)16/h4-5,7,9-10,20H,2-3,6,8H2,1H3	InChI=1S/C14H17Cl2N3O/c1-2-3-6-14(20,8-19-10-17-9-18-19)12-5-4-11(15)7-13(12)16/h4-5,7,9-10,20H,2-3,6,8H2,1H3/t14-/m1/s1	InChI=1S/C14H17Cl2N3O/c1-2-3-6-14(20,8-19-10-17-9-18-19)12-5-4-11(15)7-13(12)16/h4-5,7,9-10,20H,2-3,6,8H2,1H3/t14-/m0/s1
http://purl.obolibrary.org/obo/CHEBI_81775	pefurazoate		http://purl.obolibrary.org/obo/CHEBI_83846	http://purl.obolibrary.org/obo/CHEBI_83847	http://purl.obolibrary.org/obo/CHEBI_83845	InChI=1S/C18H23N3O4/c1-3-5-6-11-25-17(22)16(4-2)21(13-15-8-7-12-24-15)18(23)20-10-9-19-14-20/h3,7-10,12,14,16H,1,4-6,11,13H2,2H3	InChI=1S/C18H23N3O4/c1-3-5-6-11-25-17(22)16(4-2)21(13-15-8-7-12-24-15)18(23)20-10-9-19-14-20/h3,7-10,12,14,16H,1,4-6,11,13H2,2H3/t16-/m0/s1	InChI=1S/C18H23N3O4/c1-3-5-6-11-25-17(22)16(4-2)21(13-15-8-7-12-24-15)18(23)20-10-9-19-14-20/h3,7-10,12,14,16H,1,4-6,11,13H2,2H3/t16-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_81777	penthiopyrad		http://purl.obolibrary.org/obo/CHEBI_83140	http://purl.obolibrary.org/obo/CHEBI_83141	http://purl.obolibrary.org/obo/CHEBI_83138	InChI=1S/C16H20F3N3OS/c1-9(2)7-10(3)13-12(5-6-24-13)20-15(23)11-8-22(4)21-14(11)16(17,18)19/h5-6,8-10H,7H2,1-4H3,(H,20,23)	InChI=1S/C16H20F3N3OS/c1-9(2)7-10(3)13-12(5-6-24-13)20-15(23)11-8-22(4)21-14(11)16(17,18)19/h5-6,8-10H,7H2,1-4H3,(H,20,23)/t10-/m0/s1	InChI=1S/C16H20F3N3OS/c1-9(2)7-10(3)13-12(5-6-24-13)20-15(23)11-8-22(4)21-14(11)16(17,18)19/h5-6,8-10H,7H2,1-4H3,(H,20,23)/t10-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_81781	tebuconazole		http://purl.obolibrary.org/obo/CHEBI_83780	http://purl.obolibrary.org/obo/CHEBI_83781	http://purl.obolibrary.org/obo/CHEBI_83779	InChI=1S/C16H22ClN3O/c1-15(2,3)16(21,10-20-12-18-11-19-20)9-8-13-4-6-14(17)7-5-13/h4-7,11-12,21H,8-10H2,1-3H3	InChI=1S/C16H22ClN3O/c1-15(2,3)16(21,10-20-12-18-11-19-20)9-8-13-4-6-14(17)7-5-13/h4-7,11-12,21H,8-10H2,1-3H3/t16-/m1/s1	InChI=1S/C16H22ClN3O/c1-15(2,3)16(21,10-20-12-18-11-19-20)9-8-13-4-6-14(17)7-5-13/h4-7,11-12,21H,8-10H2,1-3H3/t16-/m0/s1
http://purl.obolibrary.org/obo/CHEBI_81781	tebuconazole		http://purl.obolibrary.org/obo/CHEBI_83780	http://purl.obolibrary.org/obo/CHEBI_83781	http://purl.obolibrary.org/obo/CHEBI_83779	InChI=1S/C16H22ClN3O/c1-15(2,3)16(21,10-20-12-18-11-19-20)9-8-13-4-6-14(17)7-5-13/h4-7,11-12,21H,8-10H2,1-3H3	InChI=1S/C16H22ClN3O/c1-15(2,3)16(21,10-20-12-18-11-19-20)9-8-13-4-6-14(17)7-5-13/h4-7,11-12,21H,8-10H2,1-3H3/t16-/m1/s1	InChI=1S/C16H22ClN3O/c1-15(2,3)16(21,10-20-12-18-11-19-20)9-8-13-4-6-14(17)7-5-13/h4-7,11-12,21H,8-10H2,1-3H3/t16-/m0/s1
http://purl.obolibrary.org/obo/CHEBI_81782	tetraconazole		http://purl.obolibrary.org/obo/CHEBI_84001	http://purl.obolibrary.org/obo/CHEBI_84000	http://purl.obolibrary.org/obo/CHEBI_83999	InChI=1S/C13H11Cl2F4N3O/c14-9-1-2-10(11(15)3-9)8(4-22-7-20-6-21-22)5-23-13(18,19)12(16)17/h1-3,6-8,12H,4-5H2	InChI=1S/C13H11Cl2F4N3O/c14-9-1-2-10(11(15)3-9)8(4-22-7-20-6-21-22)5-23-13(18,19)12(16)17/h1-3,6-8,12H,4-5H2/t8-/m0/s1	InChI=1S/C13H11Cl2F4N3O/c14-9-1-2-10(11(15)3-9)8(4-22-7-20-6-21-22)5-23-13(18,19)12(16)17/h1-3,6-8,12H,4-5H2/t8-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_81789	dimethenamid							
http://purl.obolibrary.org/obo/CHEBI_81789	dimethenamid							
http://purl.obolibrary.org/obo/CHEBI_81793	furametpyr		http://purl.obolibrary.org/obo/CHEBI_83119	http://purl.obolibrary.org/obo/CHEBI_83124	http://purl.obolibrary.org/obo/CHEBI_83118	InChI=1S/C17H20ClN3O2/c1-9-13(15(18)21(5)20-9)16(22)19-12-8-6-7-11-14(12)10(2)23-17(11,3)4/h6-8,10H,1-5H3,(H,19,22)	InChI=1S/C17H20ClN3O2/c1-9-13(15(18)21(5)20-9)16(22)19-12-8-6-7-11-14(12)10(2)23-17(11,3)4/h6-8,10H,1-5H3,(H,19,22)/t10-/m0/s1	InChI=1S/C17H20ClN3O2/c1-9-13(15(18)21(5)20-9)16(22)19-12-8-6-7-11-14(12)10(2)23-17(11,3)4/h6-8,10H,1-5H3,(H,19,22)/t10-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_81798	cyflumetofen		http://purl.obolibrary.org/obo/CHEBI_136836	http://purl.obolibrary.org/obo/CHEBI_136835	http://purl.obolibrary.org/obo/CHEBI_136837	InChI=1S/C24H24F3NO4/c1-22(2,3)16-9-11-17(12-10-16)23(15-28,21(30)32-14-13-31-4)20(29)18-7-5-6-8-19(18)24(25,26)27/h5-12H,13-14H2,1-4H3	InChI=1S/C24H24F3NO4/c1-22(2,3)16-9-11-17(12-10-16)23(15-28,21(30)32-14-13-31-4)20(29)18-7-5-6-8-19(18)24(25,26)27/h5-12H,13-14H2,1-4H3/t23-/m1/s1	InChI=1S/C24H24F3NO4/c1-22(2,3)16-9-11-17(12-10-16)23(15-28,21(30)32-14-13-31-4)20(29)18-7-5-6-8-19(18)24(25,26)27/h5-12H,13-14H2,1-4H3/t23-/m0/s1
http://purl.obolibrary.org/obo/CHEBI_81802	mandipropamid		http://purl.obolibrary.org/obo/CHEBI_83619	http://purl.obolibrary.org/obo/CHEBI_83618	http://purl.obolibrary.org/obo/CHEBI_83617	InChI=1S/C23H22ClNO4/c1-4-14-28-20-11-6-17(16-21(20)27-3)12-13-25-23(26)22(29-15-5-2)18-7-9-19(24)10-8-18/h1-2,6-11,16,22H,12-15H2,3H3,(H,25,26)	InChI=1S/C23H22ClNO4/c1-4-14-28-20-11-6-17(16-21(20)27-3)12-13-25-23(26)22(29-15-5-2)18-7-9-19(24)10-8-18/h1-2,6-11,16,22H,12-15H2,3H3,(H,25,26)/t22-/m0/s1	InChI=1S/C23H22ClNO4/c1-4-14-28-20-11-6-17(16-21(20)27-3)12-13-25-23(26)22(29-15-5-2)18-7-9-19(24)10-8-18/h1-2,6-11,16,22H,12-15H2,3H3,(H,25,26)/t22-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_81805	fluazifop							
http://purl.obolibrary.org/obo/CHEBI_81805	fluazifop							
http://purl.obolibrary.org/obo/CHEBI_81807	quizalofop-ethyl							
http://purl.obolibrary.org/obo/CHEBI_81807	quizalofop-ethyl							
http://purl.obolibrary.org/obo/CHEBI_81812	benzobicyclon							
http://purl.obolibrary.org/obo/CHEBI_81819	simeconazole		http://purl.obolibrary.org/obo/CHEBI_83998	http://purl.obolibrary.org/obo/CHEBI_83997	http://purl.obolibrary.org/obo/CHEBI_83996	InChI=1S/C14H20FN3OSi/c1-20(2,3)9-14(19,8-18-11-16-10-17-18)12-4-6-13(15)7-5-12/h4-7,10-11,19H,8-9H2,1-3H3	InChI=1S/C14H20FN3OSi/c1-20(2,3)9-14(19,8-18-11-16-10-17-18)12-4-6-13(15)7-5-12/h4-7,10-11,19H,8-9H2,1-3H3/t14-/m0/s1	InChI=1S/C14H20FN3OSi/c1-20(2,3)9-14(19,8-18-11-16-10-17-18)12-4-6-13(15)7-5-12/h4-7,10-11,19H,8-9H2,1-3H3/t14-/m1/s1
